year,month,ff1,1year
2002,10,0.0153334,1.65
2002,11,-0.1666667,1.49
2002,12,-0.0333333,1.45
2003,1,0.0009677,1.36
2003,2,0.0090322,1.3
2003,3,0.010762,1.24
2003,4,0.013068,1.27
2003,5,0.0311999,1.18
2003,6,0.033,1.01
2003,7,0.1080003,1.12
2003,8,0,1.31
2003,9,0.0053599,1.24
2003,10,0.0047147,1.25
2003,11,-0.0043547,1.34
2003,12,0,1.31
2004,1,0.0006452,1.24
2004,2,0.0043547,1.24
2004,3,0,1.19
2004,4,0,1.43
2004,5,-0.0103688,1.78
2004,6,-0.0012777,2.12
2004,7,-0.0048335,2.1
2004,8,0.0052373,2.02
2004,9,0.0021427,2.12
2004,10,0,2.23
2004,11,-0.00525,2.5
2004,12,-0.0075512,2.67
2005,1,-0.0038288,2.86
2005,2,0,3.03
2005,3,0,3.3
2005,4,0,3.32
2005,5,-0.0051732,3.33
2005,6,-0.0005233,3.36
2005,7,-0.0048335,3.64
2005,8,-0.0052307,3.87
2005,9,0.0146806,3.85
2005,10,0.0285001,4.18
2005,11,-0.0051801,4.33
2005,12,-0.0052772,4.35
2006,1,-0.0031714,4.45
2006,2,0.0048387,4.68
2006,3,0,4.77
2006,4,0,4.9
2006,5,0,5
2006,6,-0.0009999,5.16
2006,7,-0.0140002,5.22
2006,8,-0.0365264,5.08
2006,9,-0.0161498,4.97
2006,10,-0.0106227,5.01
2006,11,-0.003871,5.01
2006,12,0,4.94
2007,1,-0.0001614,5.06
2007,2,-0.0048387,5.05
2007,3,0,4.92
2007,4,0,4.93
2007,5,-0.005223,4.91
2007,6,-0.0018167,4.96
2007,7,0,4.96
2007,8,0.0052097,4.47
2007,9,-0.0854163,4.14
2007,10,-0.1141396,4.1
2007,11,-0.024184,3.5
2007,12,0.0210068,3.26
2008,1,-0.1474192,2.71
2008,2,-0.4225874,2.05
2008,3,0.0430794,1.54
2008,4,0.0501437,1.74
2008,5,-0.0628333,2.06
2008,6,-0.0019999,2.42
2008,7,-0.0079999,2.28
2008,8,-0.0025959,2.18
2008,9,0.0531807,1.91
2008,10,-0.0437317,1.42
2008,11,-0.0590034,1.07
2008,12,-0.0826683,0.49
2009,1,-0.0768566,0.44
2009,2,0.004355,0.62
2009,3,0,0.64
2009,4,0.0003333,0.55
2009,5,0.0046668,0.5
2009,6,0,0.51
2009,7,0,0.48
2009,8,0,0.46
2009,9,-0.0013332,0.4
2009,10,-0.0036669,0.37
2009,11,-0.0051928,0.31
2009,12,-0.0165772,0.37
2010,1,-0.0158062,0.35
2010,2,-0.0041938,0.35
2010,3,-0.0026684,0.4
2010,4,-0.0025015,0.45
2010,5,0,0.37
2010,6,0.0013332,0.32
2010,7,0.0036669,0.29
2010,8,0.0026183,0.26
2010,9,0.0010715,0.26
2010,10,0,0.23
2010,11,0.0077744,0.25
2010,12,0.0005555,0.29
2011,1,-0.0009675,0.27
2011,2,-0.0040321,0.29
2011,3,0,0.26
2011,4,0,0.25
2011,5,0,0.19
2011,6,0,0.18
2011,7,0,0.19
2011,8,-0.0052233,0.11
2011,9,0.0009632,0.1
2011,10,0.0055599,0.11
2011,11,0,0.11
2011,12,0.0026417,0.12
2012,1,0.0005393,0.12
2012,2,-0.003871,0.16
2012,3,0,0.19
2012,4,0,0.18
2012,5,0,0.19
2012,6,0.0027537,0.19
